device,batch_size,latency,throughput,model,precision,machine
cpu_openvino,1,53.82,18.58,vit_b_16,FP16,i7
gpu_openvino,1,282.68,3.54,vit_b_16,FP16,i7
cpu_openvino,1,37.76,26.48,vgg11,FP16,i7
gpu_openvino,1,15.92,62.83,vgg11,FP16,i7
cpu_openvino,1,18.11,55.2,resnet50,FP16,i7
gpu_openvino,1,13.59,73.56,resnet50,FP16,i7
cpu_openvino,2,152.57,13.11,vit_b_16,FP16,i7
gpu_openvino,2,307.09,6.51,vit_b_16,FP16,i7
cpu_openvino,2,69.22,28.89,vgg11,FP16,i7
gpu_openvino,2,70.36,28.43,vgg11,FP16,i7
cpu_openvino,2,30.58,65.4,resnet50,FP16,i7
gpu_openvino,2,23.99,83.38,resnet50,FP16,i7
cpu_openvino,4,288.93,13.84,vit_b_16,FP16,i7
gpu_openvino,4,355.61,11.25,vit_b_16,FP16,i7
cpu_openvino,4,130.24,30.71,vgg11,FP16,i7
gpu_openvino,4,107.57,37.19,vgg11,FP16,i7
cpu_openvino,4,50.98,78.47,resnet50,FP16,i7
gpu_openvino,4,42.08,95.06,resnet50,FP16,i7
cpu_openvino,6,323.73,18.53,vit_b_16,FP16,i7
gpu_openvino,6,406.41,14.76,vit_b_16,FP16,i7
cpu_openvino,6,171.29,35.03,vgg11,FP16,i7
gpu_openvino,6,101.12,59.33,vgg11,FP16,i7
cpu_openvino,6,98.79,60.74,resnet50,FP16,i7
gpu_openvino,6,62.58,95.88,resnet50,FP16,i7
cpu_openvino,8,469.17,17.05,vit_b_16,FP16,i7
gpu_openvino,8,458.95,17.43,vit_b_16,FP16,i7
cpu_openvino,8,241.46,33.13,vgg11,FP16,i7
gpu_openvino,8,147.89,54.1,vgg11,FP16,i7
cpu_openvino,8,125.38,63.81,resnet50,FP16,i7
gpu_openvino,8,80.64,99.21,resnet50,FP16,i7
cpu_openvino,10,733.8,13.63,vit_b_16,FP16,i7
gpu_openvino,10,819.43,12.2,vit_b_16,FP16,i7
cpu_openvino,10,283.55,35.27,vgg11,FP16,i7
gpu_openvino,10,168.84,59.23,vgg11,FP16,i7
cpu_openvino,10,160.61,62.26,resnet50,FP16,i7
gpu_openvino,10,112.08,89.22,resnet50,FP16,i7
cpu_openvino,20,1476.79,13.54,vit_b_16,FP16,i7
gpu_openvino,20,1436.8,13.92,vit_b_16,FP16,i7
cpu_openvino,20,565.95,35.34,vgg11,FP16,i7
gpu_openvino,20,332.23,60.2,vgg11,FP16,i7
cpu_openvino,20,332.22,60.2,resnet50,FP16,i7
gpu_openvino,20,199.58,100.21,resnet50,FP16,i7
cpu_openvino,50,3658.03,13.67,vit_b_16,FP16,i7
gpu_openvino,50,3468.41,14.42,vit_b_16,FP16,i7
cpu_openvino,50,1003.18,49.84,vgg11,FP16,i7
gpu_openvino,50,821.8,60.84,vgg11,FP16,i7
cpu_openvino,50,789.63,63.32,resnet50,FP16,i7
gpu_openvino,50,490.92,101.85,resnet50,FP16,i7
cpu_openvino,100,5389.96,18.55,vit_b_16,FP16,i7
gpu_openvino,100,6929.99,14.43,vit_b_16,FP16,i7
cpu_openvino,100,1742.69,57.38,vgg11,FP16,i7
gpu_openvino,100,1632.99,61.24,vgg11,FP16,i7
cpu_openvino,100,1103.35,90.63,resnet50,FP16,i7
gpu_openvino,100,980.67,101.97,resnet50,FP16,i7
cpu_openvino,1,82.47,12.13,vit_b_16,FP32,i7
gpu_openvino,1,533.64,1.87,vit_b_16,FP32,i7
cpu_openvino,1,31.48,31.76,vgg11,FP32,i7
gpu_openvino,1,36.99,27.04,vgg11,FP32,i7
cpu_openvino,1,12.2,81.98,resnet50,FP32,i7
gpu_openvino,1,21.63,46.24,resnet50,FP32,i7
cpu_openvino,2,82.0,24.39,vit_b_16,FP32,i7
gpu_openvino,2,563.56,3.55,vit_b_16,FP32,i7
cpu_openvino,2,40.82,49.0,vgg11,FP32,i7
gpu_openvino,2,68.11,29.37,vgg11,FP32,i7
cpu_openvino,2,21.95,91.11,resnet50,FP32,i7
gpu_openvino,2,41.22,48.53,resnet50,FP32,i7
cpu_openvino,4,270.12,14.81,vit_b_16,FP32,i7
gpu_openvino,4,609.92,6.56,vit_b_16,FP32,i7
cpu_openvino,4,124.07,32.24,vgg11,FP32,i7
gpu_openvino,4,127.0,31.5,vgg11,FP32,i7
cpu_openvino,4,43.21,92.57,resnet50,FP32,i7
gpu_openvino,4,79.7,50.19,resnet50,FP32,i7
cpu_openvino,6,235.25,25.5,vit_b_16,FP32,i7
gpu_openvino,6,662.85,9.05,vit_b_16,FP32,i7
cpu_openvino,6,105.07,57.11,vgg11,FP32,i7
gpu_openvino,6,170.83,35.12,vgg11,FP32,i7
cpu_openvino,6,59.76,100.4,resnet50,FP32,i7
gpu_openvino,6,117.68,50.99,resnet50,FP32,i7
cpu_openvino,8,412.0,19.42,vit_b_16,FP32,i7
gpu_openvino,8,709.66,11.27,vit_b_16,FP32,i7
cpu_openvino,8,137.04,58.38,vgg11,FP32,i7
gpu_openvino,8,240.5,33.26,vgg11,FP32,i7
cpu_openvino,8,78.2,102.31,resnet50,FP32,i7
gpu_openvino,8,156.67,51.06,resnet50,FP32,i7
cpu_openvino,10,405.09,24.69,vit_b_16,FP32,i7
gpu_openvino,10,1366.67,7.32,vit_b_16,FP32,i7
cpu_openvino,10,184.73,54.13,vgg11,FP32,i7
gpu_openvino,10,303.23,32.98,vgg11,FP32,i7
cpu_openvino,10,97.03,103.06,resnet50,FP32,i7
gpu_openvino,10,195.16,51.24,resnet50,FP32,i7
cpu_openvino,20,990.42,20.19,vit_b_16,FP32,i7
gpu_openvino,20,2316.31,8.63,vit_b_16,FP32,i7
cpu_openvino,20,407.72,49.05,vgg11,FP32,i7
gpu_openvino,20,562.05,35.58,vgg11,FP32,i7
cpu_openvino,20,246.36,81.18,resnet50,FP32,i7
gpu_openvino,20,390.07,51.27,resnet50,FP32,i7
cpu_openvino,50,2583.12,19.36,vit_b_16,FP32,i7
gpu_openvino,50,5532.15,9.04,vit_b_16,FP32,i7
cpu_openvino,50,846.47,59.07,vgg11,FP32,i7
gpu_openvino,50,1390.0,35.97,vgg11,FP32,i7
cpu_openvino,50,530.97,94.17,resnet50,FP32,i7
gpu_openvino,50,968.81,51.61,resnet50,FP32,i7
cpu_openvino,100,4768.38,20.97,vit_b_16,FP32,i7
gpu_openvino,100,11047.93,9.05,vit_b_16,FP32,i7
cpu_openvino,100,1665.65,60.04,vgg11,FP32,i7
gpu_openvino,100,2776.95,36.01,vgg11,FP32,i7
cpu_openvino,100,1132.55,88.3,resnet50,FP32,i7
gpu_openvino,100,1928.17,51.86,resnet50,FP32,i7
cpu_openvino,1,147.96,6.76,vit_b_16,FP16,i5
gpu_openvino,1,247.71,4.04,vit_b_16,FP16,i5
cpu_openvino,1,79.52,12.58,vgg11,FP16,i5
gpu_openvino,1,18.24,54.81,vgg11,FP16,i5
cpu_openvino,1,37.36,26.77,resnet50,FP16,i5
gpu_openvino,1,17.56,56.94,resnet50,FP16,i5
cpu_openvino,2,364.61,5.49,vit_b_16,FP16,i5
gpu_openvino,2,275.11,7.27,vit_b_16,FP16,i5
cpu_openvino,2,127.32,15.71,vgg11,FP16,i5
gpu_openvino,2,79.49,25.16,vgg11,FP16,i5
